request,objection,response
payroll,RELEVANT,"A000+A002+A007"
income,RELEVANT,"A000+A002+A007"
bank statement,RELEVANT,"A000+A002+A004"
credit card statement,RELEVANT,"A000+A002+A005"
social security statement,RELEVANT,"A000+A002+A007"
pebes,RELEVANT,"A000+A002+A007"
tax return,RELEVANT,"A000+A002+A008"
credit report,RELEVANT,"A000+A002+A006"
stock,RELEVANT,"A000+A002+A004"
bond,RELEVANT,"A000+A002+A004"
financial statement,RELEVANT,"A000+A002+A012"
document reflect income,RELEVANT,"A000+A002+A007"
compensation eligible receive,RELEVANT,"A000+A002+A009"
fringe benefit,RELEVANT,"A000+A002+A009"
employment agreement contract,RELEVANT,"A000+A002+A009"
check stub,RELEVANT,"A000+A002+A007"
payroll record,RELEVANT,"A000+A002+A007"
comission commission report,RELEVANT,"A000+A002+A007"
tax transcript,RELEVANT,"A000+A002+A008"
contract third party partie,RELEVANT,"XX"
financial statement provided bank,RELEVANT,"A000+A002+A012"
entity profit los,RELEVANT,"A000+A002+A007"
entity balance sheet,RELEVANT,"A000+A002+A012"
note account receiveable receivable,RELEVANT,"A000+A002+A009"
rent received receive,RELEVANT,"A000+A002+A007"
reimbursement due you,RELEVANT,"A000+A002+A009"
retirement statement,RELEVANT,"XX"
attorney fee,RELEVANT,"XX"
appraisal,RELEVANT,"A000+A002+A003"
credit application,RELEVANT,"A000+A002+A012"
loan application,RELEVANT,"A000+A002+A012"
