Response_Code,Response
A000,Rule 192.3 defines the scope of discovery generally and then lists specific matters within the scope of discovery. Included within the specific list of matters within the scope of discovery is “any other party’s legal contentions and the factual bases for those contentions.”
A001,Documents within the scope of this request are relevant because {{explain}}.
A002,"Section 7.001 of the Texas Family Code requires the court to make a just and right division of the community estate of the parties. In discharging its duty, the Court must be able to identify the property held by each marital estate and the value of that property."
A003,Appraisals are probative of the value of property and thus relevant to the resolution of the issues before the Court in this case.
A004,"Documents within the scope of this request are probative of the existence, value, and character of property owned or claimed by either party."
A005,Documents within the scope of this request are probative of the existence and amount of debt owed by either party.
A006,"Credit reports are probative of the existence and amount of debt owed by either party and can reveal debts that have been forgotten, discharged, and that reflect pending legal liability."
A007,"Documents within the scope of this request tend to establish sources, amounts, and frequency of income earned by either party which, in turn, is probative of assets held by either party, a party's ability to pay child support, and a party's abilty to pay or eligibility to receive spousal support."
A008,"Tax returns and tax transcripts are relevant because they reveal sources and amounts of income, potential tax assets such as carry-forwards and credits, potential liabilities such as taxes due but not paid, and reported uses of business income."
A009,"Documents within the scope of this request are relevant because they can reveal contingent or deferred assets, the existence of unreported income, vesting schedules for benefits that accrue over time, and the basis for imputable income, which is relevant to a party's ability to pay child support and a party's abiltiy to pay or eligibility to receive spousal support."
A010,"Retirement statements are probabtive of assets belonging to either party, a party's ability to pay child support and a party's abiltiy to pay or eligibility to receive spousal support."
A011,"Contracts with third- or non-parties are relevant because they can reveal contingent or deferred assets, the existence of unreported income, vesting schedules for benefits that accrue over time, the basis for imputable income, which is relevant to a party's ability to pay child support and a party's abiltiy to pay or eligibility to receive spousal support, and contingent or otherwise unreported liabilities."
A012,"Documents within the scope of this request are probative of a party's non-litigation-inspired valuation of assets and debts, which is relevant to the court's duty to divide the community estate and take into consideration the circumstances of each party."
B,"**Vague, qualified response**. ""To the Extent"" is bullshit and evasive"
C,**Improvidential objection**. We're not asking you to create anything--just produce what is in your possession
D,**Improvidential objection regarding consulting experts**. We're not asking re consulting experts.
E,**Conclusory cumulative or duplicative objection**. Objection is only sustainable if *unreasonably* cumulative or duplicative. Fails to explain how the request is *unreasonably* cumulative or duplicative.
F,**Conclusory objection as to burden**. Fails to identify more convenient or less burdensome source nor explain why or how the request is unreasonably brudensome or inconvenient
G,"**Conclusory objection as to burden**. Fails to explain the burden, inconvenience, or cost of responding in sufficient detail to sustain the objection."
H,"**Conclusory objection as to burden**. Fails to explain the burden, expense, harassment, or annoyance sufficient to sustain the objection. Conclusory statements are insufficient to raise a fact issue. See,  Ryland Group, Inc. v. Hood, 924 S.W.2d 120, 122 (Tex. 1996);  Paragon Gen. Contractors, 227 S.W.3d at 883; Rizkallah v. Conner, 952 S.W.2d 580, 587 (Tex. App.- Houston [1st Dist.] 1997, no pet.)."
I,"**Vague objection regarding invasion of rights**. Fails to specify which personal, constitutional, or property rights would be violated by responding to the request"
J,**Improper 'overly broad' objection**. Bullshit with your overbroad nonsense.
K,"CHECK SERVICE DATE, SCHEDULING ORDER, AND TRIAL DATE."
L,Failed to conference on the issue or seek clarification. Produce it in native electronic format.
M,"**Conclusory objection regarding effort and cost of complying**. Fails to describe the efforts taken and whether any effort, irrespective of cost, would enable responding party to produce the requested documents."
N,"**Vague, qualified response**. ""Subject to"" is bullshit and evasive."
O,**Impropery 'equally avaible' objection**. Equally availble is an improper objection in most instances. See In re Sting Soccer Group.
P,"CHECK SERVICE DATE, ANSWER DATE, RULE 11 AGREEMENTS RE DISCLOSURES."
Q,"**Conclusory objection to proportinality**. The requested discovery is proportional to the needs of the case because {{EXPLAIN}}. Further, the responding party complains of proportionality without explaining the actual burden of complying with the request. {{CASE LAW}}. Without understanding the burden of complying with the request, it is not possible for the Court to sustain an objection based on proportinality of the effort to comply with the request to the needs of the case."
